ticker,rs_1m,rs_3m,rs_6m,above_50d,above_200d,range_pos_20d,move_1m_sigma,vol_20d,drawdown_1y,volume_surge,composite
BWET,1.038995604319915,3.0946238395290617,9.758933495906147,1.1902481042151352,3.9705734122372043,1.0,2.7640326042603154,0.08429651519604663,0.0,1.3377349633497715,0.995083646295664
ASST,1.0523530524115339,1.0062422127342645,1.7721879974241515,0.7170639491734412,1.0064882578938295,1.0,4.012409503784377,0.05311834054304934,-0.6501162772954896,1.8886374350079846,0.9925571867531581
IOVA,0.2924367248430212,1.601462946660763,1.488018399656018,0.5097952547004887,1.4201069537069753,1.0,0.8185017229850869,0.038972411123806346,0.0,0.8312528356958485,0.9910549675657221
TWST,0.18234810609922303,0.8871291274398401,2.5668950532009127,0.41148292970105493,1.3963808939001852,1.0,0.6724670076422523,0.04531820846383808,0.0,1.0005745154949157,0.9867531580744281
ACVA,0.4125282130480904,0.597263503461757,1.0550842245473153,0.3400163147473718,0.5483031551342021,1.0,1.391780276083946,0.10155683414129305,0.0,1.864179908642701,0.9842949812222601
TXG,0.24129240181769618,1.1839789411518906,3.007013066639679,0.35164700528346304,1.4451360101357569,0.9782223243067142,1.0887742156852886,0.030456946566442423,-0.004807103296271098,0.901200511057036,0.9838852850802322
QMCO,0.16102869701486078,0.5883129320331242,3.673736210536314,0.4026790167668146,1.4051458191986614,1.0,0.3397216907190207,0.04363865944164635,-0.03906550876752113,0.7122775579630258,0.9825196312734722
NEO,0.20466115413484343,0.7688385359467138,1.2734247305781383,0.22088816121499533,0.6618602520201924,1.0,1.1780093017990572,0.029369645110215507,0.0,0.7127243809062529,0.9824513485831341
SDGR,0.47154785161768553,0.8213501889267951,1.218128109264803,0.5740258924026278,0.8896612736476193,0.8936356245519518,2.005513994928542,0.07390652232726742,-0.040343892942740656,1.2752258691850595,0.9768521679754182
ECO,0.33196792457837987,0.7461535182149903,0.8815367806736183,0.36742440135019305,0.8374242543095771,0.9437965918655804,2.201339451661695,0.024629795668943452,-0.015643175617339966,1.1633941989206393,0.9759644930010243
CLMT,0.20901393323501194,0.7875777012642518,0.893757107826294,0.2458191204880269,0.7686593568956568,0.9962349968632155,1.4528262925242275,0.022388973488437457,-0.0008467271415164568,1.0724950500396624,0.9754182314783202
CVI,0.47252583259538594,0.9457793901643583,0.5208567902902499,0.39110662105705263,0.7196031934520748,0.9723076453575721,2.8647334394421944,0.03253431892180714,-0.008311798448699115,1.1418261346151306,0.9740525776715602
MPC,0.1873794195374182,0.733935440460636,0.6533315627197553,0.22596840203341606,0.6995396078958924,1.0,1.9167715041121802,0.013273883644940004,0.0,1.1450291682892093,0.9733014680778422
VLO,0.20313706072872184,0.7357018936239614,0.5614550514358803,0.2252197128844018,0.6667002184472601,1.0,2.0075770982405112,0.015361143953783187,0.0,1.0621081626949993,0.9731649026971663
CDNA,0.1669687107655794,1.0361294068405,1.8997010997369577,0.19951159131134566,1.0211711185272767,0.9336287567460514,0.6158284619333012,0.025533847022578007,-0.008290290316178561,0.9882666806115306,0.9730966200068283
DINO,0.23448270009984185,0.7880173456553328,0.7807367576377229,0.22229369555585476,0.7159993126387616,0.9692044024664672,2.1200476262977896,0.020909765726096485,-0.006173908452632326,0.9465916113777427,0.9724820757937863
ADPT,0.13198409670445288,0.6120389260058274,0.958698814435083,0.17742442046294293,0.5863247047861404,1.0,0.757679439017515,0.026159683057193836,0.0,0.7892249407387295,0.9713895527483782
HTFL,0.12423283254914519,0.48860034527441365,0.7996558559059297,0.36028347637033686,0.649836438628929,1.0,0.41611472661221854,0.03297286647294175,0.0,1.070394247151738,0.9709798566063503
ATRC,0.22991493649565242,0.9973407398184155,0.8408172950105501,0.30728069008520387,0.6400013072790511,0.9068492797538528,1.6760808519099568,0.024297228753898798,-0.017253052709606198,1.2763084488561691,0.9707750085353363
TEAM,0.11168958374925231,1.301304597285258,1.4134342579547474,0.33096375357482866,0.7303008248681446,0.9056406664505139,0.36548283047597974,0.037538268725364754,-0.013663388655198117,0.8473507797280818,0.9697507681802662
NTRA,0.14592300585474416,0.5762373906723821,0.6615182473650689,0.21396502492499359,0.5346824721741252,1.0,0.8201250745161481,0.02212278101066657,0.0,0.9176631099209962,0.9686582451348583
NAT,0.2301265091979544,0.4446316732572313,0.46745857589222584,0.2598326028990423,0.6257011579279448,1.0,1.8456034308795797,0.021199278551235278,0.0,1.1690002558945507,0.9667463298053942
ABCL,0.0612067575838916,1.2638855297407716,2.4173432541021507,0.38721088022088934,1.2995412114664053,0.9559473790125226,0.16328064384662708,0.056129582279022566,-0.007855414877559586,0.6412983864705988,0.9666780471150563
DELL,0.3078576346922076,0.36947583389550864,2.4804145552415977,0.22786548351792435,1.089155446539121,0.8755200500831856,1.265924811185921,0.05539098378175583,-0.03456836507735306,1.3126457846492883,0.9649026971662682
GTLB,0.16521695460029007,0.8335188049090274,0.9901603861084229,0.22198529594415595,0.5447250008321449,0.8839284573890609,0.9606542852670444,0.03694076230111503,-0.035462408715207894,1.2033501026542242,0.9648344144759303
PLSE,0.15526577548343645,1.0842764301676746,1.2443502175219807,0.2733177368851454,1.0840969680324015,0.8256878578153037,0.7550744525585941,0.046782247652828526,-0.024094235736816016,1.3646015391944273,0.9645612837145784
OKTA,0.30106379846981823,0.5279806374697569,1.0976117523272908,0.19260225938726538,0.7151607187915998,0.8649732231694934,1.2854759482902751,0.07374278689993774,-0.042425843846301325,1.3351027227754242,0.9633321952884945
CRSR,0.18843771714830104,0.4749517399327794,1.3126373827595996,0.15608935534903834,0.6909044580182597,0.9391635587642847,0.6636008737917979,0.03455214194270728,-0.06759583562669291,0.691279919926808,0.9630590645271424
FTK,0.25709998737928597,0.3656812977077435,0.661842322080678,0.14699843077764396,0.5308746514668661,1.0,0.838082122697018,0.044002336490038964,-0.19113859182444137,0.8910997121450391,0.9621713895527485
INSW,0.18085300120003256,0.36224162213925926,0.6206620502227866,0.20005124865592339,0.5879306396597654,1.0,1.4309872547410414,0.02091964488329851,0.0,1.1717419676939447,0.9621713895527485
LPG,0.18125348733351399,0.4830648446680912,0.6433296009598048,0.21371352872885052,0.5962387041055182,0.9846301777370453,1.391075077431071,0.021675930779990787,-0.002743952043283593,0.9217484775618385,0.9620348241720723
UGP,0.20115951801025778,0.6059848080893779,0.36979754727929626,0.16983746243585962,0.44074116500688953,1.0,1.9723012810064018,0.015414747929637674,0.0,0.8754628456849393,0.9616251280300444
BBNX,0.10353610160853821,0.5570689084465916,0.8662912695069251,0.24310721979683758,0.3469939940530429,0.9483064377939221,0.3998789167664462,0.05830255135746783,-0.3157236778284821,1.0552783699288515,0.9611471491976784
INSP,0.25419327656617174,0.7819040046728674,0.24360919450699425,0.2954495362138718,0.1892407436874335,1.0,1.3276434939732176,0.02852109808008072,-0.4667685544123268,0.8369636255011663,0.9607374530556505
PGEN,0.09617535236598151,0.5940874981080495,1.1828131142553846,0.20128469784763303,0.6251501829433481,0.9243700240141592,0.4815452642724475,0.027702356739135257,-0.011435791240083204,0.8352252070946017,0.9607374530556504
CAI,0.32680628637061904,0.6031523763134776,0.43327259839814447,0.39084767116833663,0.42516739940959747,0.8635703022746449,1.432875248434353,0.04418743252742555,-0.10320073979793853,1.2148710229021344,0.9578012973711164
ARKG,0.09150224715517152,0.3809562569657903,0.7735218288432759,0.17512662447298277,0.5083790938483501,1.0,0.6266348238870028,0.02711272701902811,0.0,1.2119637700296308,0.9575281666097645
SMTC,0.48533295441001123,0.14916375891346978,1.2006393006845069,0.35190435734288283,0.6551225547761914,1.0,1.6312876786123014,0.05938656473956474,0.0,1.1754478015493655,0.9571184704677365
TEM,0.2804402042032531,0.5110574430441404,0.4364849276359739,0.3640728054709692,0.38619285750424126,0.8834410547197353,0.9993312071375223,0.060607715363740815,-0.24610173038362593,1.176549530457193,0.9565039262546945
RBRK,0.07903592119535274,0.4996321094411844,0.9350797872957948,0.1950250317571609,0.5192457597260398,0.9471197955408747,0.3276135767481265,0.06048269285921712,-0.01038674513181237,1.156957245661363,0.9552748378286104
PSX,0.1368686568624985,0.6326800575007332,0.39025881736108015,0.1919158588580332,0.5481625520939148,0.9710536949092652,1.4878982131266485,0.014979113824885855,-0.003938538368112532,1.0778185065296566,0.9543188801638784
HALO,0.05446319991648496,0.6203879716771978,0.6167430682806578,0.17141270499143757,0.4817283777282291,1.0,0.32855514027651456,0.013505412205937173,0.0,0.9236921666267296,0.9533629224991464
PI,0.1080799111757994,0.3880286242390405,0.649929005370459,0.12619775679036804,0.2687993073063615,1.0,0.6415973475969202,0.029391264802433044,-0.25083711717571555,0.9155287988534475,0.9530897917377945
GSOL,0.402317113066326,0.6507258102545634,0.16031767638254668,0.33397193865368435,0.24869390483467657,1.0,2.1543674388699494,0.051872450490877665,-0.5364969696153954,0.8644170635114576,0.9524069648344146
ILMN,0.17846114609754127,0.4597548765360666,0.7323220603171556,0.17425324582991597,0.5354458839176275,0.8733773849465803,1.2556509210484563,0.03327482369963636,-0.022677207458547066,1.3906680246101895,0.9520655513827245
FGI,0.06003671114650688,0.9596806289228093,1.3868687454702289,0.4246613787476643,0.5843037375971618,0.7866045302797534,0.05597844585903106,0.07167579335319191,-0.20947097847877716,0.030561650670394805,0.9517241379310345
HPQ,0.16971360528335044,0.45803523877943997,0.7418859439194452,0.18992566879965045,0.5080408507252547,0.8494791328841163,1.1159183323955926,0.036357761224689075,-0.030439628813178632,1.1458497551955986,0.9507681802663026
