ticker,persistence,avg_regime_alpha,resolved_signals,hit_rate
AJG,6,,,
AKRE,6,-0.042343,2.0,0.0
INSP,6,0.1333135,2.0,1.0
CQQQ,6,-0.13156025,4.0,0.0
REGN,6,,,
CPNG,6,-0.17732,1.0,0.0
CVLT,6,,,
ARLO,6,,,
NOV,6,0.046453,1.0,1.0
VDE,6,,,
TDS,6,,,
BRO,6,,,
BJRI,6,,,
TAP,6,-0.130079,2.0,0.0
TARS,6,,,
MCHI,6,,,
UHS,6,,,
GPCR,6,-0.2761206666666667,3.0,0.0
GSHD,6,-0.428828,1.0,0.0
PGNY,6,,,
GILD,6,0.11557366666666667,3.0,1.0
BETA,6,-0.1496546,5.0,0.2
AVPT,6,,,
AVNT,6,,,
MANE,6,0.030802999999999997,6.0,0.6666666666666666
DASH,6,-0.183876,1.0,0.0
RRX,6,,,
VERX,6,,,
NRIX,6,-0.2172915,2.0,0.0
EWTX,6,-0.086497,1.0,0.0
PSI,6,,,
T,6,,,
CACC,6,-0.219887,1.0,0.0
NVEC,6,,,
CBT,6,,,
VIR,6,,,
FTXL,6,,,
MRCY,6,-0.145864,2.0,0.0
TTEK,6,,,
BBNX,6,-0.12143242857142857,7.0,0.14285714285714285
BMA,6,-0.09564571428571429,7.0,0.0
FUN,6,-0.317422,2.0,0.0
TRGP,6,-0.017342999999999997,2.0,0.0
CGEM,6,,,
INVX,6,-0.07887150000000001,2.0,0.0
XP,6,0.055410999999999995,2.0,0.5
ACI,6,,,
IT,6,,,
DKNG,6,-0.103985,1.0,0.0
CGNX,6,,,
XPEV,6,-0.17994,1.0,0.0
SARO,6,-0.18936250000000002,4.0,0.0
GLDM,6,,,
CBZ,6,,,
SFL,6,,,
CLBT,6,-0.026883,1.0,0.0
CNH,6,,,
BMRN,6,-0.082905,2.0,0.0
MEC,6,,,
MDLN,6,-0.22810999999999998,2.0,0.0
PPC,6,-0.13257033333333332,3.0,0.0
CLS,6,0.012339749999999995,4.0,0.75
TTWO,6,,,
LSTR,6,-0.2673085,2.0,0.0
GT,6,,,
APO,6,0.0319165,2.0,1.0
AGYS,5,,,
IE,5,-0.20721866666666666,3.0,0.0
SKM,5,,,
SJM,5,0.013695,2.0,1.0
PAR,5,,,
EME,5,-0.09810033333333333,3.0,0.0
CPRI,5,-0.17728866666666665,3.0,0.0
SNPS,5,,,
RGEN,5,,,
COUR,5,,,
KVUE,5,-0.123353,1.0,0.0
CSL,5,0.008616,1.0,1.0
CTRI,5,,,
VST,5,-0.071939,2.0,0.0
VRSK,5,0.134282,1.0,1.0
VRNS,5,,,
IFF,5,,,
KMT,5,,,
QTWO,5,,,
IBIT,5,0.11770900000000001,2.0,1.0
CBOE,5,0.033132666666666664,3.0,0.6666666666666666
FBTC,5,0.117475,2.0,1.0
WMB,5,,,
AAMI,5,-0.095997,1.0,0.0
XYZ,5,-0.0671975,4.0,0.25
AAAU,5,,,
WHR,5,0.07784400000000001,2.0,1.0
WLDN,5,-0.14113266666666666,3.0,0.0
AGIO,5,-0.12838,2.0,0.0
USAR,5,,,
DD,5,,,
ASR,5,,,
LNC,5,0.1027258,5.0,0.8
LMT,5,,,
ASML,5,,,
MMSI,5,0.111935,1.0,1.0
LLY,5,-0.09883449999999999,2.0,0.0
ASAN,5,,,
GPI,5,,,
GPK,5,,,
FA,5,,,
TLN,5,-0.062519,1.0,0.0
ARKB,5,0.1188375,2.0,1.0
TME,5,,,
LYFT,5,-0.02057933333333334,3.0,0.6666666666666666
LFUS,5,,,
LI,5,-0.0953415,2.0,0.0
VKTX,5,-0.1044195,8.0,0.125
SLNO,5,,,
SLG,5,-0.2168575,2.0,0.0
FOUR,5,-0.015827,2.0,0.0
BOOT,5,-0.2405625,2.0,0.0
STLD,5,,,
LII,5,,,
HUN,5,,,
HPQ,5,,,
NSA,5,,,
FOXA,5,0.0539135,2.0,1.0
HLIO,5,-0.131053,1.0,0.0
FIS,5,,,
RLJ,5,,,
FMX,5,,,
BIRK,5,-0.157176,1.0,0.0
ECG,5,-0.088141,1.0,0.0
CMBT,5,,,
TXN,5,-0.107109,1.0,0.0
TKO,5,-0.1341015,2.0,0.0
THC,5,,,
MLYS,5,0.051751,1.0,1.0
NATL,5,,,
GE,5,-0.014503,1.0,0.0
MWH,5,,,
TTC,5,-0.053087,1.0,0.0
BITB,5,0.117617,2.0,1.0
PPLT,5,,,
DHT,5,,,
MGA,5,-0.015852666666666668,3.0,0.0
DYN,5,-0.457238,1.0,0.0
CSGP,5,-0.06666449999999999,2.0,0.5
TPC,5,,,
TRI,5,,,
SEPN,5,-0.21335700000000002,2.0,0.0
JBTM,5,-0.140428,2.0,0.0
IYE,5,,,
GLD,5,,,
IIPR,5,,,
PRGO,5,,,
ABT,5,,,
EZPW,5,,,
NUE,5,,,
YMM,5,-0.126743,2.0,0.0
YETI,5,-0.2229314,5.0,0.0
YUM,5,,,
YUMC,5,,,
XENE,5,,,
WYNN,5,-0.13081625,4.0,0.0
XLE,5,,,
ACN,5,,,
IMNM,4,-0.024794,1.0,0.0
WWW,4,,,
XMTR,4,,,
ADI,4,-0.132764,1.0,0.0
WST,4,,,
ILMN,4,-0.01578733333333333,3.0,0.3333333333333333
IPGP,4,,,
IXC,4,,,
XSD,4,,,
PTGX,4,0.041172,2.0,1.0
CRM,4,,,
MHK,4,,,
CHH,4,,,
SDRL,4,,,
SDGR,4,,,
SANM,4,,,
DOC,4,,,
DKS,4,-0.37405025000000003,4.0,0.0
PKX,4,,,
TREX,4,-0.124076,1.0,0.0
TREE,4,,,
TPG,4,0.06729500000000001,3.0,1.0
FTDR,4,,,
BBVA,4,-0.085989,1.0,0.0
BBT,4,,,
TEVA,4,,,
BLTE,4,,,
MMM,4,,,
GRND,4,,,
TSCO,4,,,
BITO,4,0.1131015,2.0,1.0
GCT,4,,,
MRK,4,,,
NAMS,4,-0.215366,1.0,0.0
FRSH,4,,,
CGAU,4,,,
CG,4,0.030876,3.0,0.6666666666666666
CEF,4,-0.022802,2.0,0.5
SGOL,4,,,
PFS,4,,,
PEGA,4,0.11460225,4.0,0.75
FLYW,4,,,
CNI,4,,,
TYL,4,,,
BE,4,-0.18939,1.0,0.0
MDGL,4,-0.0969785,4.0,0.25
GRC,4,,,
RVLV,4,-0.103023,1.0,0.0
GBTC,4,0.1211875,2.0,1.0
BKV,4,,,
TDC,4,-0.008494666666666668,3.0,0.3333333333333333
NOMD,4,,,
NOC,4,-0.061363,1.0,0.0
NFLX,4,-0.0767505,2.0,0.0
FLR,4,-0.01778533333333333,3.0,0.3333333333333333
ARCT,4,,,
GTLB,4,0.287423,1.0,1.0
HRI,4,0.1502935,2.0,1.0
HQY,4,-0.0036923333333333253,3.0,0.6666666666666666
LVS,4,-0.09480133333333333,3.0,0.0
LUV,4,,,
UTZ,4,,,
LMAT,4,,,
COLB,4,,,
CNXC,4,,,
CRAK,4,,,
PSN,4,,,
PK,4,,,
VICI,4,-0.162834,2.0,0.0
EWG,4,,,
NTCT,4,,,
SXT,4,,,
CACI,4,,,
NVO,4,-0.166875,2.0,0.0
HROW,4,-0.260196,1.0,0.0
IEX,4,,,
VNOM,4,,,
VLTO,4,,,
VITL,4,-0.130614,5.0,0.0
VIK,4,-0.20389866666666667,3.0,0.0
LPX,4,,,
LOGI,4,,,
LOAR,4,-0.206957,1.0,0.0
BTSG,4,,,
SLM,4,,,
PAY,4,-0.206409,1.0,0.0
PATH,4,0.005458999999999999,4.0,0.75
EHC,4,,,
EYE,4,,,
BWA,4,,,
CURB,4,,,
KYMR,4,,,
HXL,4,-0.13668950000000002,2.0,0.0
IEO,4,,,
ALGT,4,,,
ALG,4,,,
VTR,4,,,
WK,4,0.238363,3.0,1.0
SOC,4,-0.408314,3.0,0.0
EMN,4,,,
SNAP,4,,,
CECO,4,,,
CDNS,4,-0.10847,2.0,0.0
CCOI,4,,,
OUNZ,4,,,
OTF,4,-0.0929155,2.0,0.0
OPLN,4,-0.07157833333333334,3.0,0.0
RCUS,4,,,
RARE,4,,,
CVX,4,,,
ACVA,4,,,
AAUC,4,,,
WRLD,3,,,
CWAN,3,,,
CWEN,3,,,
RBA,3,-0.064956,1.0,0.0
RDNT,3,,,
RDVT,3,0.079514,1.0,1.0
DBX,3,,,
PUK,3,,,
INTU,3,,,
JETS,3,-0.037129999999999996,2.0,0.0
JLL,3,,,
KALU,3,,,
KBH,3,,,
ORCL,3,-0.0708295,2.0,0.0
CCK,3,,,
SNDX,3,-0.154653,1.0,0.0
SNN,3,,,
CALX,3,,,
ESE,3,,,
ET,3,,,
OHI,3,,,
SOBO,3,,,
SOXQ,3,,,
EXC,3,,,
EXPO,3,,,
CAH,3,,,
PACS,3,,,
SKYW,3,-0.077005,1.0,0.0
BRSL,3,,,
NVST,3,-0.062586,1.0,0.0
NWPX,3,,,
NXPI,3,-0.09651,1.0,0.0
CAE,3,,,
STZ,3,-0.1393785,2.0,0.0
BOBS,3,-0.15323733333333334,3.0,0.0
NGVT,3,,,
TCOM,3,-0.189476,1.0,0.0
TECK,3,,,
TEM,3,0.17556566666666665,3.0,0.6666666666666666
BLBD,3,,,
FXI,3,,,
CCB,3,,,
PBH,3,-0.184714,1.0,0.0
PCAR,3,-0.112162,1.0,0.0
PCG,3,,,
PDBC,3,,,
SHOP,3,,,
BIIB,3,,,
FFIV,3,-0.063826,1.0,0.0
FG,3,,,
TEX,3,-0.1194185,2.0,0.0
TFPM,3,,,
TMUS,3,,,
MSI,3,,,
TOST,3,0.072729,2.0,1.0
BH,3,,,
BH-A,3,,,
DNLI,3,-0.304327,1.0,0.0
SBUX,3,,,
SE,3,,,
CHDN,3,,,
MIDD,3,,,
TRMD,3,,,
TRU,3,,,
GKOS,3,0.030371,1.0,1.0
BEKE,3,-0.11788649999999999,2.0,0.0
UBS,3,-0.030705333333333334,3.0,0.0
DT,3,,,
PLNT,3,,,
PRCT,3,,,
RSG,3,,,
SAIL,3,-0.0421905,2.0,0.0
SAM,3,,,
GSG,3,,,
GO,3,,,
GPOR,3,,,
BALL,3,,,
UFPT,3,,,
UPWK,3,,,
ATRC,3,,,
LIT,3,,,
URA,3,,,
URBN,3,,,
VALE,3,,,
ARKG,3,,,
VC,3,,,
VEEV,3,,,
HELP,3,,,
PHYS,3,,,
CX,3,,,
CYTK,3,,,
CNS,3,,,
RNA,3,,,
DCO,3,,,
LEA,3,,,
HODL,3,,,
LPLA,3,,,
IESC,3,,,
LGIH,3,,,
HEI,3,,,
HURN,3,,,
DGII,3,,,
DHI,3,,,
CTAS,3,,,
REPX,3,,,
REZI,3,-0.131039,1.0,0.0
RIO,3,,,
CPAY,3,,,
IBN,3,,,
IBP,3,-0.11434849999999999,2.0,0.0
AMPL,3,,,
AMRC,3,,,
VSCO,3,,,
VVV,3,-0.185387,1.0,0.0
KMPR,3,,,
KSPI,3,-0.124534,1.0,0.0
KBR,3,,,
KD,3,,,
IBKR,3,-0.136501,1.0,0.0
IBM,3,-0.066749,1.0,0.0
ICE,3,,,
WHD,3,,,
WLTH,3,,,
AES,3,,,
AIG,3,,,
ABNB,3,0.010731666666666667,3.0,0.3333333333333333
ADNT,3,,,
ACLX,3,,,
ING,3,,,
ZYME,2,,,
AAPL,2,,,
ACIW,2,,,
ABM,2,,,
ACAD,2,,,
JHX,2,,,
JEF,2,,,
AGCO,2,-0.019436999999999996,2.0,0.5
AFL,2,,,
ICUI,2,-0.147089,1.0,0.0
HSIC,2,,,
KSTR,2,-0.1241485,2.0,0.0
KSS,2,,,
PRG,2,,,
CPER,2,,,
RING,2,,,
CSW,2,,,
CVCO,2,-0.049035999999999996,2.0,0.0
CUK,2,,,
CTSH,2,,,
QDEL,2,,,
PYPL,2,,,
PTF,2,,,
CRI,2,,,
CRAI,2,,,
DBC,2,,,
DAPP,2,,,
DAL,2,-0.113013,1.0,0.0
CXM,2,,,
CWK,2,,,
KNSA,2,,,
KN,2,,,
WELL,2,0.013399,1.0,1.0
WEAV,2,,,
WAL,2,-0.073156,1.0,0.0
VZ,2,,,
VVX,2,,,
ALKT,2,,,
ALH,2,-0.16324133333333332,3.0,0.0
ALGN,2,,,
VSXY,2,,,
PGR,2,,,
SAH,2,,,
SA,2,,,
CMCSA,2,,,
PNW,2,-0.1997195,2.0,0.0
VREX,2,,,
AMGN,2,,,
ALNT,2,,,
KURA,2,,,
KTB,2,,,
HCSG,2,,,
VNT,2,,,
VNO,2,,,
APG,2,-0.161425,1.0,0.0
AMX,2,,,
CL,2,,,
CHEF,2,,,
CHE,2,0.009383,1.0,1.0
DJCO,2,,,
PIPR,2,,,
PII,2,,,
VCTR,2,,,
ARGX,2,-0.139226,1.0,0.0
APLE,2,,,
GWW,2,,,
GTY,2,,,
GSK,2,,,
LTM,2,,,
V,2,,,
ELAN,2,-0.087142,1.0,0.0
EIX,2,,,
EFX,2,,,
ED,2,,,
SHEL,2,,,
PCTY,2,,,
ASO,2,,,
ARQT,2,,,
AX,2,,,
MDLZ,2,-0.035668,1.0,0.0
MDB,2,0.2308145,2.0,1.0
MATX,2,,,
M,2,,,
AUPH,2,-0.053005,1.0,0.0
BABA,2,,,
AZZ,2,,,
GPN,2,,,
MICC,2,-0.111914,1.0,0.0
MIAX,2,0.00466,2.0,1.0
EQH,2,,,
EPR,2,,,
SLDE,2,,,
SKWD,2,,,
CHAT,2,,,
PALL,2,-0.0673985,2.0,0.0
OWL,2,,,
ELV,2,-0.034204,2.0,0.5
MEDP,2,,,
AXTA,2,,,
AXS,2,,,
TWO,2,,,
GIL,2,,,
OGC,2,,,
ESAB,2,-0.234101,1.0,0.0
ERIE,2,,,
CALM,2,,,
SMA,2,-0.1271465,2.0,0.0
CCXI,2,,,
ECH,2,,,
OSK,2,-0.001468,1.0,0.0
OSIS,2,0.011923,1.0,1.0
GRMN,2,,,
TSN,2,-0.174481,1.0,0.0
TSLA,2,-0.119454,1.0,0.0
TRUP,2,,,
MPTI,2,-0.114423,1.0,0.0
MORN,2,,,
MOG-A,2,,,
BV,2,-0.119493,1.0,0.0
BURL,2,-0.314543,2.0,0.0
CASH,2,,,
EMR,2,,,
OMCL,2,,,
GMAB,2,,,
GM,2,0.0022184999999999983,2.0,0.5
BHC,2,-0.1914725,2.0,0.0
TPB,2,,,
FUTU,2,,,
FUBO,2,,,
MTCH,2,,,
MRX,2,,,
MRP,2,-0.170313,1.0,0.0
GFF,2,,,
BLFS,2,,,
BLDR,2,-0.2235035,2.0,0.0
NCNO,2,,,
TEN,2,,,
STOK,2,,,
STEP,2,,,
SRRK,2,,,
BZH,2,,,
BXMT,2,,,
BWMN,2,,,
OC,2,,,
TBBB,2,,,
BTI,2,,,
FBIN,2,,,
FLUT,2,,,
FLS,2,,,
FLO,2,,,
FERG,2,,,
FER,2,,,
BP,2,0.061182,1.0,1.0
SW,2,,,
SUNC,2,,,
WMS,2,,,
IMAX,2,,,
ITRI,2,,,
ISRG,2,,,
IRT,2,,,
IOSP,2,,,
JOE,2,,,
JJSF,2,,,
CRNX,2,,,
CRL,2,-0.070915,2.0,0.0
RBC,2,,,
RAPP,2,,,
XBI,2,,,
ADC,2,,,
ZTO,2,-0.080278,1.0,0.0
ZION,2,-0.06891,1.0,0.0
Z,2,,,
ZG,1,,,
ADUS,1,,,
XME,1,,,
XOM,1,,,
XXI,1,,,
RACE,1,-0.100712,1.0,0.0
REG,1,,,
KB,1,,,
INVH,1,-0.189434,1.0,0.0
IPAR,1,,,
ITIC,1,,,
AHR,1,-0.067629,1.0,0.0
WMT,1,-0.064008,1.0,0.0
WSFS,1,,,
WTRG,1,,,
STRA,1,,,
SUNB,1,,,
SUPN,1,-0.071646,1.0,0.0
SVIX,1,,,
SVV,1,-0.199607,1.0,0.0
SXI,1,-0.145107,1.0,0.0
SYF,1,-0.011637,1.0,0.0
TAC,1,,,
TAK,1,,,
BPOP,1,-0.079684,1.0,0.0
FCNCA,1,,,
FEZ,1,,,
FFBC,1,,,
NOW,1,,,
NPK,1,,,
NSSC,1,,,
EWT,1,,,
NGG,1,,,
NLR,1,,,
NMRK,1,,,
FBK,1,,,
EWZ,1,-0.111602,1.0,0.0
EXLS,1,,,
EYPT,1,-0.212536,1.0,0.0
NUVL,1,,,
NVR,1,,,
C,1,-0.01303,1.0,0.0
CAG,1,,,
SSB,1,,,
STLA,1,,,
GBX,1,,,
FND,1,,,
FHN,1,,,
BMI,1,,,
TFC,1,-0.088492,1.0,0.0
TILE,1,-0.140651,1.0,0.0
GENI,1,,,
GFL,1,,,
MSM,1,,,
MTH,1,,,
FSV,1,,,
FWRG,1,,,
TNET,1,,,
BF-B,1,,,
BFH,1,,,
GLPI,1,,,
GLTR,1,0.032735,1.0,1.0
MNST,1,-0.179308,1.0,0.0
OKE,1,,,
OLED,1,,,
OMF,1,0.051499,1.0,1.0
ONB,1,-0.104459,1.0,0.0
CASY,1,-0.299086,1.0,0.0
CBSH,1,,,
SO,1,,,
SOLV,1,,,
SONO,1,,,
SONY,1,,,
SPSC,1,,,
MO,1,,,
GEHC,1,,,
TRMK,1,,,
TSM,1,0.02978,1.0,1.0
BC,1,,,
MKL,1,,,
MLI,1,,,
MLPI,1,,,
MMED,1,-0.14036,1.0,0.0
OSW,1,,,
SMG,1,,,
SMH,1,,,
SMPL,1,,,
ESI,1,-0.09531,1.0,0.0
ESS,1,-0.137641,1.0,0.0
ETHB,1,,,
MMS,1,,,
MNRO,1,,,
GHM,1,,,
GIS,1,,,
BCO,1,,,
BEP,1,,,
TW,1,,,
TXNM,1,,,
UAL,1,,,
AXGN,1,,,
META,1,,,
OZK,1,-0.120833,1.0,0.0
PAGS,1,,,
CHD,1,,,
CCEP,1,,,
EPRT,1,,,
EQPT,1,-0.143519,1.0,0.0
ORA,1,,,
ORI,1,,,
MGNI,1,,,
GNL,1,,,
AZN,1,,,
AZO,1,,,
BAH,1,,,
BAM,1,0.025856,1.0,1.0
UFO,1,,,
ULTA,1,,,
ATKR,1,,,
ATMU,1,,,
HAPN,1,-0.280271,1.0,0.0
MASI,1,,,
MAT,1,,,
MCD,1,,,
MCY,1,,,
MDA,1,,,
MDU,1,,,
ATAT,1,,,
USPH,1,,,
PBW,1,,,
PCRX,1,,,
PEG,1,,,
SHLD,1,,,
SHOO,1,,,
SIG,1,,,
CEG,1,,,
CFG,1,-0.074386,1.0,0.0
CHA,1,,,
EFOR,1,,,
LYV,1,,,
LZ,1,,,
GTLS,1,,,
GWRE,1,0.082881,1.0,1.0
ARE,1,-0.054445,1.0,0.0
ARKX,1,,,
VCEL,1,-0.106356,1.0,0.0
HESM,1,,,
PICK,1,,,
DIS,1,,,
DLO,1,,,
SAP,1,,,
SBH,1,,,
CIGI,1,,,
CLBK,1,,,
DRI,1,,,
DV,1,,,
DY,1,,,
HG,1,,,
HIW,1,,,
LMB,1,,,
LOW,1,,,
ANIP,1,,,
AORT,1,,,
VLUE,1,,,
VLY,1,-0.081221,1.0,0.0
VMRK,1,,,
VOYA,1,-0.015863,1.0,0.0
HON,1,,,
LECO,1,-0.122346,1.0,0.0
LEN,1,,,
LEVI,1,,,
LGND,1,-0.028096,1.0,0.0
HEI-A,1,,,
HZO,1,-0.050174,1.0,0.0
LBTYA,1,,,
LDOS,1,,,
ALLY,1,-0.07377,1.0,0.0
AM,1,,,
VRDN,1,,,
DDS,1,,,
DEO,1,,,
DHR,1,,,
PLMR,1,,,
PNFP,1,-0.089056,1.0,0.0
CLDX,1,,,
CNMD,1,,,
CNP,1,,,
RUSHA,1,,,
RVTY,1,,,
PHG,1,,,
VTRS,1,,,
VYX,1,,,
WBS,1,,,
WDAY,1,,,
WERN,1,,,
DBRG,1,-0.064566,1.0,0.0
CRBG,1,,,
COCO,1,,,
COLM,1,,,
RMD,1,,,
ROAD,1,,,
RPD,1,,,
RRR,1,-0.181669,1.0,0.0
DOLE,1,,,
CTRA,1,,,
CSX,1,,,
RL,1,-0.155738,1.0,0.0
PRK,1,,,
PRKS,1,-0.298153,1.0,0.0
PRLB,1,,,
KDP,1,-0.124327,1.0,0.0
KIM,1,,,
KLAC,1,,,
WFC,1,-0.107974,1.0,0.0
WINA,1,-0.059246,1.0,0.0
WKC,1,,,
AHCO,1,,,
JANX,1,,,
WU,1,,,
ACGL,1,,,
ABBV,1,,,
