ticker,persistence,avg_regime_alpha,resolved_signals,hit_rate
BCAX,21,-0.209974,6.0,0.0
PARR,21,,,
AIR,20,-0.0030466666666666676,3.0,0.3333333333333333
AA,20,-0.09661353846153846,13.0,0.07692307692307693
ICHR,20,-0.05982540000000001,5.0,0.4
KRYS,20,-0.08607394117647059,17.0,0.11764705882352941
BJ,20,0.022354333333333334,6.0,0.6666666666666666
UMC,20,,,
ON,20,-0.2437705,2.0,0.0
ELVN,20,-0.214767,1.0,0.0
TXG,20,,,
CRSR,20,,,
GME,20,-0.06182,1.0,0.0
HOOD,20,0.025314857142857142,14.0,0.7142857142857143
AMD,20,0.17752,2.0,1.0
LYB,20,0.005967,2.0,1.0
LRN,20,-0.14560033333333333,3.0,0.0
MBLY,20,-0.14225322222222223,9.0,0.0
FSLY,20,0.07592433333333333,3.0,1.0
VET,20,,,
G,20,0.11912522222222223,9.0,0.8888888888888888
FIVE,20,0.1240795,2.0,1.0
FNV,20,0.092122,3.0,1.0
DNTH,20,-0.22366049999999998,2.0,0.0
CVI,20,,,
SYRE,20,-0.159056,1.0,0.0
BTC,20,0.131072,2.0,1.0
CNK,20,-0.05078442857142857,7.0,0.2857142857142857
BWET,19,0.12286800000000002,3.0,0.6666666666666666
IMVT,19,,,
SRAD,19,-0.1235354,5.0,0.0
SKYT,19,,,
BUD,19,-0.148945,1.0,0.0
MPLT,19,,,
GLW,19,,,
GAP,19,-0.008045333333333333,9.0,0.5555555555555556
FTI,19,-0.0211738,5.0,0.2
ASX,19,,,
ATEX,19,,,
LB,19,-0.075133,1.0,0.0
KLIC,19,,,
XOP,19,0.0157472,5.0,1.0
AMBQ,19,-0.03465818181818182,11.0,0.36363636363636365
VECO,19,-0.12706699999999999,2.0,0.0
CHRD,19,0.052708500000000005,2.0,1.0
ROG,19,,,
BRBR,19,-0.1848725,4.0,0.0
COHU,19,,,
ALNY,19,,,
PAAS,19,-0.0354944375,16.0,0.25
ORKA,19,,,
DELL,19,,,
